node_id,type,phys_nodeid,role,inception,temp_boot_osid_vers,next_boot_osid,next_boot_osid_vers,startstatus,ready,bootstatus,status,failureaction,routertype,eventstate,state_timestamp,op_mode,op_mode_timestamp,allocstate,allocstate_timestamp,update_accounts,next_op_mode,osid,ntpdrift,jailflag,rtabid,boot_errno,reserved_pid,uuid,reserved_memory,nonfsmounts
pc266,pc3000,pc266,testnode,2005-08-03 10:36:46,0,,0,none,0,okay,,fatal,none,PXEWAIT,1556933798.0,PXEKERNEL,1556933793.0,FREE_DIRTY,1556921715.0,0,,9999.0,7.985,0,0,0,,de9f416b-773e-102b-8eb4-001143e453fe,0,0
rpc14-9,RPC27,rpc14-9,powerctrl,,0,,0,,0,unknown,down,fatal,none,ISUP,1046687348.0,NONE,1034973566.0,FREE_DIRTY,,0,,535.0,,0,0,0,,de9f446b-773e-102b-8eb4-001143e453fe,0,0
rpc14-10,RPC27,rpc14-10,powerctrl,,0,,0,,0,unknown,down,fatal,none,ISUP,1046687348.0,NONE,1034973566.0,FREE_DIRTY,,0,,535.0,,0,0,0,,de9f45e2-773e-102b-8eb4-001143e453fe,0,0
rpc14-6,RPC27,rpc14-6,powerctrl,,0,,0,,0,unknown,down,fatal,none,ISUP,1046687348.0,NONE,1034973566.0,FREE_DIRTY,,0,,535.0,,0,0,0,,de9f4a4d-773e-102b-8eb4-001143e453fe,0,0
rpc14-8,RPC27,rpc14-8,powerctrl,,0,,0,,0,unknown,down,fatal,none,ISUP,1046687348.0,NONE,1034973566.0,FREE_DIRTY,,0,,535.0,,0,0,0,,de9f4d42-773e-102b-8eb4-001143e453fe,0,0
pc340,pc3000,pc340,testnode,2005-08-12 23:49:57,0,,0,none,0,okay,,fatal,none,PXEWAIT,1556933812.0,PXEKERNEL,1556933808.0,FREE_DIRTY,1556921730.0,0,,9999.0,-6.3870000000000005,0,0,0,,de9f4ec4-773e-102b-8eb4-001143e453fe,0,0
pc356,pc3000,pc356,testnode,2005-08-15 21:02:00,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557116927.0,PXEKERNEL,1557116813.0,FREE_DIRTY,1557111227.0,0,,9999.0,-0.599,0,0,0,,de9f5040-773e-102b-8eb4-001143e453fe,0,0
pc327,pc3000,pc327,testnode,2005-08-12 23:18:18,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557243395.0,PXEKERNEL,1557243391.0,FREE_DIRTY,1557242467.0,0,,9999.0,2.22,0,0,0,,de9f5d7f-773e-102b-8eb4-001143e453fe,0,0
pc209,pc3000,pc209,testnode,2005-08-05 17:29:39,0,,0,0,0,okay,,fatal,none,ISUP,1557249058.0,NORMALv2,1557249045.0,RES_READY,1557249240.0,0,,285.0,311.274,0,0,0,,de9f5efb-773e-102b-8eb4-001143e453fe,0,0
pc259,pc3000,pc259,testnode,2005-08-09 14:40:16,0,,0,none,0,okay,,fatal,static,TBFAILED,1554156322.0,NORMALv2,1554156311.0,RES_READY,1215466789.0,0,,940.0,145.016,0,0,2,,de9f6212-773e-102b-8eb4-001143e453fe,0,0
pc267,pc3000,pc267,testnode,2005-08-03 10:36:47,0,,0,0,0,failed,,fatal,none,ISUP,1554156369.0,PXEFBSD,1554156355.0,DOWN,1536706358.0,0,,9998.0,2.803,0,0,0,,de9f6520-773e-102b-8eb4-001143e453fe,0,0
pc350,pc3000,pc350,testnode,2005-08-15 20:46:43,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557243506.0,PXEKERNEL,1557243391.0,FREE_DIRTY,1557242351.0,0,,9999.0,-9.985,0,0,0,,de9f66a1-773e-102b-8eb4-001143e453fe,0,0
pc263,pc3000,pc263,testnode,2005-08-03 10:36:47,0,,0,none,0,failed,,fatal,none,SHUTDOWN,1555121404.0,PXEKERNEL,1455904446.0,RES_INIT_DIRTY,1455916213.0,1,NORMALv2,403.0,317.098,0,0,0,emulab-ops,de9f6c91-773e-102b-8eb4-001143e453fe,0,0
pc319,pc3000,pc319,testnode,2005-08-15 15:39:18,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557251684.0,PXEKERNEL,1557251680.0,FREE_DIRTY,1556817734.0,0,,9999.0,4.357,0,0,0,,de9f6e13-773e-102b-8eb4-001143e453fe,0,0
pc317,pc3000,pc317,testnode,2005-08-15 15:39:18,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557103548.0,PXEKERNEL,1557103544.0,FREE_DIRTY,1557090736.0,0,,9999.0,50.836999999999996,0,0,0,,de9f7108-773e-102b-8eb4-001143e453fe,0,0
pc338,pc3000,pc338,testnode,2005-08-12 23:44:17,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557265987.0,PXEKERNEL,1557265983.0,FREE_DIRTY,1557263897.0,0,,9999.0,-10.722000000000001,0,0,0,,de9f7587-773e-102b-8eb4-001143e453fe,0,0
pc245,pc3000,pc245,testnode,2005-08-09 13:40:57,0,,0,none,0,okay,,fatal,static,ISUP,1557249142.0,NORMALv2,1557249118.0,RES_READY,1557249240.0,0,,5911.0,314.925,0,0,0,,de9f788c-773e-102b-8eb4-001143e453fe,0,0
pc230,pc3000,pc230,testnode,2005-08-04 22:44:27,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557103544.0,PXEKERNEL,1557103541.0,FREE_DIRTY,1557090731.0,0,,9999.0,26.061,0,0,0,,de9f7a08-773e-102b-8eb4-001143e453fe,0,0
ron65,pcron,ron65,testnode,,0,,0,,0,unknown,,fatal,none,ISUP,1227747249.0,NORMAL,,,,2,WIDEAREA,,,0,0,0,,de9f7d00-773e-102b-8eb4-001143e453fe,0,0
pc352,pc3000,pc352,testnode,2005-08-15 20:55:33,0,,0,none,0,okay,,fatal,none,PXEWAIT,1556898659.0,PXEKERNEL,1556898655.0,FREE_DIRTY,1556885688.0,0,,9999.0,7.965,0,0,0,,de9f7e79-773e-102b-8eb4-001143e453fe,0,0
pc337,pc3000,pc337,testnode,2005-08-12 23:44:16,0,,0,0,0,failed,,fatal,none,SHUTDOWN,1554156912.0,RELOAD,1483139126.0,FREE_DIRTY,1453233469.0,1,,403.0,262.866,0,0,0,emulab-ops,de9f7ff3-773e-102b-8eb4-001143e453fe,0,0
pc359,pc3000,pc359,testnode,2005-08-15 21:02:01,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557103550.0,PXEKERNEL,1557103546.0,FREE_DIRTY,1557090736.0,0,,9999.0,2.693,0,0,0,,de9f85e0-773e-102b-8eb4-001143e453fe,0,0
